date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2019-12-11,treadmill_running,7.07,2394.67,5.67,0,474.0,141.0,uncategorized
2019-12-12,treadmill_running,7.04,2381.92,5.68,0,469.0,138.0,uncategorized
2019-12-13,treadmill_running,5.2,1783.71,5.73,0,317.0,131.0,uncategorized
2019-12-14,treadmill_running,8.01,2623.69,5.47,0,524.0,140.0,uncategorized
2019-12-15,treadmill_running,8.01,2624.17,5.48,0,535.0,144.0,uncategorized
2019-12-17,treadmill_running,8.01,2619.0,5.47,0,583.0,150.0,uncategorized
2019-12-18,treadmill_running,6.01,1963.55,5.46,0,438.0,149.0,uncategorized
2019-12-19,treadmill_running,8.01,2664.08,5.56,0,598.0,150.0,uncategorized
2019-12-22,running,3.91,1400.49,5.99,22.0,299.0,144.0,uncategorized
2020-01-05,running,7.26,2686.25,6.2,124.0,583.0,152.0,uncategorized
2020-01-07,running,8.01,2856.2,5.97,60.0,612.0,151.0,uncategorized
2020-01-09,running,8.01,2733.72,5.72,58.0,603.0,154.0,uncategorized
2020-01-14,treadmill_running,6.01,2110.45,5.87,0,438.0,146.0,uncategorized
2020-01-15,treadmill_running,8.01,2763.02,5.78,0,553.0,144.0,uncategorized
2020-01-16,treadmill_running,8.03,2795.87,5.82,0,512.0,136.0,uncategorized
2020-01-17,treadmill_running,8.02,2768.86,5.77,0,580.0,147.0,uncategorized
2020-01-18,treadmill_running,8.02,2734.53,5.69,0,560.0,145.0,uncategorized
2020-01-19,treadmill_running,8.69,2957.88,5.68,0,569.0,141.0,uncategorized
2020-01-20,treadmill_running,6.01,2093.23,5.82,0,449.0,149.0,uncategorized
2020-01-25,running,7.51,2532.25,5.64,69.0,501.0,142.0,uncategorized
2020-01-26,running,3.78,1387.11,6.15,24.0,265.0,139.0,uncategorized
2020-01-28,running,7.05,2399.94,5.7,61.0,486.0,146.0,uncategorized
2020-01-31,running,8.01,2747.55,5.75,55.0,598.0,152.0,uncategorized
2020-02-02,running,10.62,3689.05,5.81,87.0,688.0,140.0,uncategorized
2020-02-04,running,8.04,2713.15,5.64,63.0,552.0,146.0,uncategorized
2020-02-05,running,8.02,2629.26,5.48,60.0,540.0,147.0,uncategorized
2020-02-06,running,7.26,2420.52,5.58,57.0,504.0,145.0,uncategorized
2020-02-08,running,7.32,2350.78,5.35,69.0,480.0,143.0,uncategorized
2020-02-09,running,7.3,2504.42,5.74,79.0,513.0,143.0,uncategorized
2020-02-12,treadmill_running,6.05,2124.68,5.86,0,486.0,153.0,uncategorized
2020-02-13,treadmill_running,6.04,2105.07,5.83,0,375.0,132.0,uncategorized
2020-02-16,treadmill_running,6.01,2108.09,5.87,0,417.0,142.0,uncategorized
2020-02-20,running,7.28,2559.43,5.88,59.0,539.0,146.0,uncategorized
2020-02-22,running,8.25,2767.8,5.61,67.0,578.0,145.0,uncategorized
2020-02-25,running,7.51,2526.7,5.64,47.0,540.0,147.0,uncategorized
2020-02-26,running,7.26,2448.4,5.65,49.0,533.0,150.0,uncategorized
2020-02-28,running,7.25,2519.69,5.81,52.0,479.0,138.0,uncategorized
2020-03-01,running,14.26,4873.31,5.72,111.0,1048.0,149.0,uncategorized
2020-03-03,running,7.26,2422.74,5.58,50.0,509.0,145.0,uncategorized
2020-03-06,running,7.25,2423.59,5.59,64.0,491.0,142.0,uncategorized
2020-03-08,running,14.26,4923.88,5.77,111.0,951.0,144.0,uncategorized
2020-03-10,running,7.26,2357.78,5.44,50.0,556.0,159.0,uncategorized
2020-03-12,running,7.37,2575.01,5.84,49.0,547.0,147.0,uncategorized
2020-03-14,running,19.61,6315.92,5.37,109.0,1450.0,159.0,uncategorized
2020-03-18,running,7.48,2511.81,5.63,47.0,507.0,144.0,uncategorized
2020-03-19,running,7.33,2501.94,5.71,49.0,500.0,144.0,uncategorized
2020-03-21,running,11.03,4094.46,6.21,88.0,693.0,140.0,uncategorized
2020-03-23,running,7.26,2545.04,5.86,50.0,529.0,146.0,uncategorized
2020-03-24,running,7.26,2587.05,5.96,56.0,504.0,140.0,uncategorized
2020-03-25,running,7.36,2569.63,5.84,55.0,525.0,143.0,uncategorized
2020-03-26,running,7.35,2561.3,5.82,47.0,510.0,141.0,uncategorized
2020-04-13,running,7.31,2431.31,5.56,55.0,568.0,157.0,uncategorized
2020-04-15,running,7.31,2425.64,5.56,43.0,563.0,157.0,uncategorized
2020-04-17,running,7.37,2511.56,5.7,50.0,571.0,156.0,uncategorized
2020-04-19,running,7.31,2716.68,6.21,39.0,571.0,149.0,uncategorized
2020-04-21,running,7.26,2524.45,5.84,50.0,553.0,152.0,uncategorized
2020-04-22,running,7.26,2446.27,5.63,49.0,515.0,149.0,uncategorized
2020-04-25,running,7.29,2385.34,5.47,45.0,520.0,152.0,uncategorized
2020-04-27,running,7.27,2389.55,5.51,52.0,511.0,150.0,uncategorized
2020-04-28,running,7.38,2510.19,5.69,58.0,541.0,151.0,uncategorized
2020-04-30,running,7.28,2456.89,5.64,52.0,507.0,146.0,uncategorized
